Country,Total_Cases,Total_Deaths,Death_Rate_%,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom
Somalia,601,28,4.658901830282862,4.668,0.0,0.698,0.268,0.559
South Africa,5647,103,1.8239773330972198,4.722,0.96,1.351,0.469,0.389
South Sudan,35,0,0.0,2.853,0.306,0.575,0.295,0.01
Spain,213435,24543,11.499051233396585,6.354,1.286,1.484,1.062,0.362
Sri Lanka,663,7,1.0558069381598794,4.366,0.949,1.265,0.831,0.47
Sweden,21092,2586,12.260572728996776,7.343,1.387,1.487,1.009,0.574
Switzerland,29586,1737,5.871020077063476,7.48,1.452,1.526,1.052,0.572
Syria,43,3,6.976744186046512,3.462,0.619,0.378,0.44,0.013
Tajikistan,15,0,0.0,5.467,0.493,1.098,0.718,0.389
Tanzania,480,16,3.3333333333333335,3.231,0.476,0.885,0.499,0.417
Thailand,2954,54,1.8280297901150981,6.008,1.05,1.409,0.828,0.557
Togo,116,9,7.758620689655173,4.085,0.275,0.572,0.41,0.293
Tunisia,994,41,4.124748490945674,4.461,0.921,1.0,0.815,0.167
Turkey,120204,3174,2.6405111310771687,5.373,1.183,1.36,0.808,0.195
Uganda,83,0,0.0,4.189,0.332,1.069,0.443,0.356
Ukraine,10406,261,2.508168364405151,4.332,0.82,1.39,0.739,0.178
United Arab Emirates,12481,105,0.8412787436904094,6.825,1.503,1.31,0.825,0.598
United Kingdom,172481,26842,15.562293817869794,7.054,1.333,1.538,0.996,0.45
Uruguay,643,17,2.6438569206842923,6.293,1.124,1.465,0.891,0.523
Uzbekistan,2039,9,0.4413928396272682,6.174,0.745,1.529,0.756,0.631
Venezuela,333,16,4.804804804804805,4.707,0.96,1.427,0.805,0.154
Vietnam,270,0,0.0,5.175,0.741,1.346,0.851,0.543
Yemen,6,2,33.33333333333333,3.38,0.287,1.163,0.463,0.143
Zambia,106,3,2.8301886792452833,4.107,0.578,1.058,0.426,0.431
Zimbabwe,40,4,10.0,3.663,0.366,1.114,0.433,0.361
